architecture,array_demand_ratio,site_facility_demand_ratio,scenario_id,physical_replacement_dr,physical_loss_2024_usd_per_kwdc,installed_capex_physical_loss_fraction
fixed_tilt,1.3,1.3,upper_resistance,0.16591403626489643,145.63862799496974,0.130034489281223
fixed_tilt,1.35,1.35,central_screening,0.39177659378692214,343.8998103124445,0.3070534020646826
fixed_tilt,1.35,1.35,lower_resistance,0.6618056817146935,580.9301832083529,0.5186876635788865
fixed_tilt,1.35,1.35,upper_resistance,0.19054140939598274,167.2564302899191,0.14933609847314205
fixed_tilt,1.4,1.4,central_screening,0.4311002288956237,378.41792821214045,0.3378731501894111
fixed_tilt,1.4,1.4,lower_resistance,0.6993607121218515,613.8958275018555,0.5481212745552281
fixed_tilt,1.4,1.4,upper_resistance,0.21673775327110628,190.25146836111713,0.16986738246528316
fixed_tilt,1.45,1.45,central_screening,0.4700686890813188,412.6242750908343,0.3684145313311021
fixed_tilt,1.45,1.45,lower_resistance,0.7337645638315121,644.0953806773181,0.575085161319034
fixed_tilt,1.45,1.45,upper_resistance,0.24432899779370956,214.47094422589575,0.1914919144874069
fixed_tilt,1.5,1.5,central_screening,0.5082985569516422,446.1822888092967,0.3983770435797292
fixed_tilt,1.5,1.5,lower_resistance,0.7650320129778266,671.5418131617962,0.5995909046087466
fixed_tilt,1.5,1.5,upper_resistance,0.2731135491806444,239.7378997277845,0.2140516961855219
fixed_tilt,1.55,1.55,central_screening,0.5454584261596347,478.80106230043134,0.427500948482528
fixed_tilt,1.55,1.55,lower_resistance,0.7932502187720819,696.3116329363787,0.6217068151217667
fixed_tilt,1.55,1.55,upper_resistance,0.30286951453544225,265.85755823587846,0.2373728198534629
fixed_tilt,1.6,1.6,central_screening,0.5812728804438139,510.2388363535481,0.45557038960138224
fixed_tilt,1.6,1.6,lower_resistance,0.8185595477885242,718.5280531766946,0.6415429046220488
fixed_tilt,1.6,1.6,upper_resistance,0.3333623534979467,292.62404123000175,0.26127146538393015
fixed_tilt,1.65,1.65,central_screening,0.6155231799761615,540.3036020876768,0.48241393043542574
fixed_tilt,1.65,1.65,lower_resistance,0.8411367914125644,738.3462606010719,0.6592377326795285
fixed_tilt,1.65,1.65,upper_resistance,0.3643524120422375,319.82698143614766,0.28555980485370325
fixed_tilt,1.7,1.7,central_screening,0.6480453468914121,568.8514204374052,0.5079030539619689
fixed_tilt,1.7,1.7,lower_resistance,0.861181099969501,755.9410685091821,0.674947382597484
fixed_tilt,1.7,1.7,upper_resistance,0.3956019094377956,347.2576559509619,0.3100514785276446
fixed_tilt,1.75,1.75,central_screening,0.6787263452659712,595.7830689547891,0.5319491687096332
fixed_tilt,1.75,1.75,lower_resistance,0.8789026462324453,771.4969656580158,0.6888365764803712
fixed_tilt,1.75,1.75,upper_resistance,0.4268810747694497,374.7143728525792,0.33456640433266
fixed_tilt,1.8,1.8,central_screening,0.7074989949211242,621.0395771676691,0.5544996224711332
fixed_tilt,1.8,1.8,lower_resistance,0.894513833447139,785.2003987038529,0.7010717845570115
fixed_tilt,1.8,1.8,upper_resistance,0.4579732488732655,402.0069496580205,0.3589347764803755
fixed_tilt,1.85,1.85,central_screening,0.7343361687572382,644.5971330245698,0.575533154486223
fixed_tilt,1.85,1.85,lower_resistance,0.9082227530698472,797.2340294327015,0.7118160977077692
fixed_tilt,1.85,1.85,upper_resistance,0.48867887156532086,428.96021329547625,0.38300019044238953
fixed_tilt,1.9,1.9,central_screening,0.7592447194468785,666.4617517720187,0.595055135510731
fixed_tilt,1.9,1.9,lower_resistance,0.9202285507384769,807.7726670296603,0.7212255955621967
fixed_tilt,1.9,1.9,upper_resistance,0.5188183578778561,455.41652485203815,0.4066218971893198
fixed_tilt,1.95,1.95,central_screening,0.7822594769620411,686.6640070097473,0.61309286340156
fixed_tilt,1.95,1.95,lower_resistance,0.9307183548937024,816.9805720357433,0.7294469393176279
fixed_tilt,1.95,1.95,upper_resistance,0.5482339294856546,481.237387191905,0.4296762385642009
fixed_tilt,2.0,2.0,central_screening,0.803437562302518,705.2540393058877,0.629691106523114
fixed_tilt,2.0,2.0,lower_resistance,0.9398654446603651,825.0098481220454,0.7366159358232548
fixed_tilt,2.0,2.0,upper_resistance,0.5767905098047409,506.3042306701732,0.45205734881265464
tracker,0.0,0.0,central_screening,0.0,0.0,0.0
tracker,0.0,0.0,lower_resistance,0.0,0.0,0.0
tracker,0.0,0.0,upper_resistance,0.0,0.0,0.0
